date, price
17/4/2003,29.52 
18/4/2003,29.52 
21/4/2003,29.52 
22/4/2003,29.59 
23/4/2003,29.09 
24/4/2003,28.95 
25/4/2003,29.37 
28/4/2003,29.66 
29/4/2003,30.95 
30/4/2003,30.80 
1/5/2003,30.80 
2/5/2003,31.16 
5/5/2003,31.66 
6/5/2003,31.45 
7/5/2003,31.16 
8/5/2003,31.16 
9/5/2003,31.73 
12/5/2003,32.73 
13/5/2003,32.09 
14/5/2003,32.31 
15/5/2003,32.59 
16/5/2003,32.38 
19/5/2003,32.02 
20/5/2003,31.66 
21/5/2003,31.81 
22/5/2003,32.52 
23/5/2003,33.45 
26/5/2003,34.66 
27/5/2003,34.02 
28/5/2003,34.31 
29/5/2003,34.31 
30/5/2003,33.95 
2/6/2003,34.66 
3/6/2003,35.02 
4/6/2003,35.02 
5/6/2003,34.95 
6/6/2003,35.52 
9/6/2003,35.38 
10/6/2003,35.45 
11/6/2003,35.38 
12/6/2003,35.74 
13/6/2003,35.74 
16/6/2003,35.91 
17/6/2003,36.09 
18/6/2003,35.66 
19/6/2003,35.52 
20/6/2003,35.09 
23/6/2003,34.24 
24/6/2003,33.73 
25/6/2003,33.59 
26/6/2003,34.16 
27/6/2003,34.02 
30/6/2003,33.45 
1/7/2003,33.45 
2/7/2003,33.38 
3/7/2003,33.38 
4/7/2003,33.52 
7/7/2003,34.16 
8/7/2003,34.88 
9/7/2003,35.24 
10/7/2003,35.16 
11/7/2003,34.95 
14/7/2003,35.91 
15/7/2003,35.91 
16/7/2003,36.45 
17/7/2003,35.74 
18/7/2003,36.63 
21/7/2003,36.45 
22/7/2003,35.91 
23/7/2003,35.52 
24/7/2003,35.74 
25/7/2003,35.74 
28/7/2003,36.45 
29/7/2003,36.45 
30/7/2003,36.09 
31/7/2003,36.63 
1/8/2003,37.34 
4/8/2003,37.34 
5/8/2003,36.81 
6/8/2003,35.59 
7/8/2003,35.45 
8/8/2003,35.59 
11/8/2003,35.91 
12/8/2003,36.63 
13/8/2003,37.17 
14/8/2003,37.88 
15/8/2003,37.88 
18/8/2003,38.42 
19/8/2003,38.77 
20/8/2003,39.13 
21/8/2003,40.38 
22/8/2003,41.99 
25/8/2003,43.06 
26/8/2003,42.70 
27/8/2003,42.70 
28/8/2003,42.53 
29/8/2003,43.24 
1/9/2003,43.96 
2/9/2003,44.49 
3/9/2003,45.38 
4/9/2003,45.38 
5/9/2003,45.03 
8/9/2003,45.03 
9/9/2003,44.67 
10/9/2003,42.53 
11/9/2003,42.88 
12/9/2003,42.88 
15/9/2003,44.13 
16/9/2003,44.31 
17/9/2003,45.03 
18/9/2003,44.49 
19/9/2003,42.70 
22/9/2003,42.17 
23/9/2003,43.06 
24/9/2003,45.92 
25/9/2003,43.78 
26/9/2003,44.13 
29/9/2003,43.60 
30/9/2003,43.78 
1/10/2003,43.78 
2/10/2003,46.46 
3/10/2003,46.64 
6/10/2003,47.53 
7/10/2003,46.46 
8/10/2003,45.21 
9/10/2003,46.28 
10/10/2003,46.99 
13/10/2003,47.17 
14/10/2003,46.28 
15/10/2003,46.99 
16/10/2003,47.17 
17/10/2003,46.28 
20/10/2003,47.17 
21/10/2003,47.17 
22/10/2003,45.92 
23/10/2003,45.03 
24/10/2003,44.67 
27/10/2003,44.67 
28/10/2003,45.92 
29/10/2003,46.46 
30/10/2003,46.10 
31/10/2003,46.28 
3/11/2003,46.28 
4/11/2003,46.10 
5/11/2003,45.74 
6/11/2003,44.49 
7/11/2003,44.67 
10/11/2003,44.13 
11/11/2003,43.60 
12/11/2003,42.88 
13/11/2003,44.13 
14/11/2003,44.31 
17/11/2003,43.06 
18/11/2003,42.17 
19/11/2003,41.10 
20/11/2003,41.45 
21/11/2003,41.63 
24/11/2003,41.63 
25/11/2003,41.99 
26/11/2003,42.35 
27/11/2003,42.70 
28/11/2003,43.78 
1/12/2003,44.67 
2/12/2003,44.31 
3/12/2003,43.96 
4/12/2003,43.24 
5/12/2003,43.24 
8/12/2003,42.35 
9/12/2003,43.06 
10/12/2003,42.70 
11/12/2003,44.67 
12/12/2003,44.85 
15/12/2003,44.31 
16/12/2003,43.24 
17/12/2003,42.88 
18/12/2003,42.88 
19/12/2003,43.42 
22/12/2003,43.78 
23/12/2003,43.60 
24/12/2003,43.42 
25/12/2003,43.42 
26/12/2003,43.42 
29/12/2003,43.60 
30/12/2003,43.78 
31/12/2003,43.96 
1/1/2004,43.96 
2/1/2004,44.85 
5/1/2004,47.17 
6/1/2004,47.53 
7/1/2004,47.35 
8/1/2004,46.10 
9/1/2004,47.89 
12/1/2004,49.49 
13/1/2004,50.39 
14/1/2004,52.00 
15/1/2004,51.46 
16/1/2004,51.28 
19/1/2004,52.17 
20/1/2004,53.96 
21/1/2004,55.39 
22/1/2004,55.39 
23/1/2004,55.39 
26/1/2004,55.75 
27/1/2004,54.68 
28/1/2004,52.53 
